condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Transductive,Joint,730,0.35,-0.25712545729711866,-0.25712545729711866,0.0,-0.33591156770015157,-0.16973006129346221,211,2000,,
Transductive,Joint,730,0.4,-0.36188591207187865,-0.36188591207187865,0.0,-0.44723753167516445,-0.2672075664012507,211,2000,,
Transductive,Joint,730,0.45,-0.4856937222602311,-0.4856937222602311,0.0,-0.5788045800092703,-0.3824082542559097,211,2000,,
Transductive,Joint,730,0.5,-0.6230681112477177,-0.6342630944862542,0.0,-0.7277685941139486,-0.5069701680455663,211,2000,,
Transductive,Joint,730,0.55,-0.6963408192476187,-0.8158478827625049,0.0,-0.8142706706060704,-0.5719070383655188,211,2000,,
Transductive,Joint,730,0.6,-0.5489075298558489,-1.0428288681078173,0.0,-0.6641618871716766,-0.4291352382537289,211,2000,,
Transductive,Joint,730,0.65,-0.22340366038667844,-1.3346615635517916,0.0,-0.3189158202028643,-0.12705848867732608,211,2000,,
Transductive,Joint,730,0.7,-0.05627228803936735,-1.723771824143756,0.0,-0.12484248781999524,0.0005319370338624405,211,2000,,
Transductive,Joint,730,0.75,0.004856776104746222,-2.2685261889725075,0.0,0.0,0.01479117835959873,211,2000,,
Transductive,Joint,730,0.8,0.0,-3.085657736215635,0.0,0.0,0.0,211,2000,,
Transductive,Joint,730,0.85,0.0,-4.447543648287512,0.0,0.0,0.0,211,2000,,
Transductive,Joint,730,0.9,0.0,-7.17131547243127,0.0,0.0,0.0,211,2000,,
Transductive,Joint,1095,0.05,0.21665827476860963,0.21665827476860963,0.0,0.152410447579083,0.28560049066812626,211,2000,,
Transductive,Joint,1095,0.1,0.17314741412043108,0.17314741412043108,0.0,0.10532780566336566,0.2459182144187775,211,2000,,
Transductive,Joint,1095,0.15,0.12451762869011386,0.12451762869011386,0.0,0.05270602940462272,0.20156743508127012,211,2000,,
Transductive,Joint,1095,0.2,0.06980912008100701,0.06980912008100701,0.0,-0.006493468886463083,0.15167280832657423,211,2000,,
Transductive,Joint,1095,0.25,0.007806143657352557,0.007806143657352557,0.0,-0.07358623361636031,0.0951255646712523,211,2000,,
Transductive,Joint,1095,0.3,-0.063054400826824,-0.063054400826824,0.0,-0.1502636790219572,0.030500143350884325,211,2000,,
