time,surv,lower,upper,strata
0.02737850787132101,0.9976303317535545,0.9930021423458333,1,LUNG1 (n=422)
0.049281314168377825,0.9952606635071091,0.9887295058171437,1,LUNG1 (n=422)
0.06570841889117043,0.9928909952606636,0.9849074616014462,1,LUNG1 (n=422)
0.06844626967830253,0.990521327014218,0.9813195345482051,0.9998094043055162,LUNG1 (n=422)
0.09034907597535935,0.9881516587677726,0.977881768765388,0.9985294049998465,LUNG1 (n=422)
0.10677618069815195,0.9857819905213271,0.9745510548672683,0.9971423538898556,LUNG1 (n=422)
0.13689253935660506,0.9834123222748816,0.9713017539270544,0.9956738899029164,LUNG1 (n=422)
0.13963039014373715,0.9810426540284362,0.9681171415420919,0.99414073744227,LUNG1 (n=422)
0.14236824093086928,0.9786729857819907,0.9649855877137921,0.992554526507098,LUNG1 (n=422)
0.15879534565366188,0.9763033175355451,0.9618986152105314,0.9909237343296214,LUNG1 (n=422)
0.16427104722792607,0.9739336492890996,0.9588498173056978,0.9892547676370573,LUNG1 (n=422)
0.17796030116358658,0.9715639810426542,0.9558342111449799,0.9875526092843266,LUNG1 (n=422)
0.19164955509924708,0.9691943127962087,0.9528478298202366,0.9858212261801864,LUNG1 (n=422)
0.1943874058863792,0.9668246445497632,0.9498874535189261,0.9840638381378005,LUNG1 (n=422)
0.1998631074606434,0.9620853080568723,0.9440345243815187,0.9804812388458952,LUNG1 (n=422)
0.2080766598220397,0.9597156398104267,0.9411378673642555,0.9786601317788166,LUNG1 (n=422)
0.2108145106091718,0.9573459715639813,0.9382588444726524,0.9768213906738151,LUNG1 (n=422)
0.2135523613963039,0.9549763033175358,0.9353960648881081,0.9749664063501453,LUNG1 (n=422)
0.216290212183436,0.9526066350710903,0.9325483174283471,0.9730963899907423,LUNG1 (n=422)
0.2245037645448323,0.9502369668246448,0.9297145395539843,0.9712124041356576,LUNG1 (n=422)
0.2327173169062286,0.9478672985781993,0.9268937929376285,0.9693153871129557,LUNG1 (n=422)
0.23819301848049282,0.9431279620853082,0.9212881480492633,0.9654855049971007,LUNG1 (n=422)
0.26283367556468173,0.9407582938388628,0.9185018367527723,0.9635540529298096,LUNG1 (n=422)
0.2683093771389459,0.9336492890995263,0.9102018605354963,0.9577007396174795,LUNG1 (n=422)
0.2737850787132101,0.9312796208530808,0.9074531943798593,0.9557316427862111,LUNG1 (n=422)
0.27652292950034224,0.9289099526066353,0.9047128012272591,0.9537542730479308,LUNG1 (n=422)
0.28473648186173856,0.9265402843601899,0.9019803007202799,0.9517690107607909,LUNG1 (n=422)
0.2929500342231348,0.9241706161137443,0.8992553426460166,0.9497762061384414,LUNG1 (n=422)
0.29842573579739906,0.9218009478672988,0.8965376036809761,0.9477761825051276,LUNG1 (n=422)
0.30937713894592744,0.9194312796208534,0.8938267845754605,0.9457692391113075,LUNG1 (n=422)
0.32306639288158795,0.9170616113744079,0.8911226077069428,0.9437556535802758,LUNG1 (n=422)
0.32854209445585214,0.9123222748815168,0.8857331657801951,0.9397095710103947,LUNG1 (n=422)
0.35044490075290896,0.9075829383886258,0.8803674146316505,0.9356397980708709,LUNG1 (n=422)
0.35592060232717315,0.9052132701421803,0.877692905864076,0.9335965449496274,LUNG1 (n=422)
0.3586584531143053,0.9004739336492894,0.8723596975240188,0.9294942298265672,LUNG1 (n=422)
0.3613963039014374,0.8957345971563984,0.8670464607470758,0.9253719435652991,LUNG1 (n=422)
0.3668720054757016,0.8909952606635073,0.8617519958480891,0.921230885857764,LUNG1 (n=422)
0.3723477070499658,0.8886255924170618,0.8591114634113964,0.9191536571552388,LUNG1 (n=422)
0.3750855578370979,0.8862559241706163,0.8564752309061286,0.9170721286318202,LUNG1 (n=422)
0.3805612594113621,0.8838862559241708,0.85384318130436,0.914986417316324,LUNG1 (n=422)
0.38329911019849416,0.8815165876777253,0.8512152034585604,0.9128966343571786,LUNG1 (n=422)
0.3860369609856263,0.8791469194312799,0.8485911916958097,0.9108028854282131,LUNG1 (n=422)
0.3915126625598905,0.8767772511848343,0.8459710454474793,0.9087052710989739,LUNG1 (n=422)
0.4134154688569473,0.8744075829383888,0.8433546689106642,0.9066038871732949,LUNG1 (n=422)
0.4216290212183436,0.8720379146919434,0.8407419707380908,0.9044988249993882,LUNG1 (n=422)
0.4243668720054757,0.8696682464454979,0.8381328637536247,0.9023901717543364,LUNG1 (n=422)
0.4353182751540041,0.8672985781990523,0.8355272646908386,0.9002780107055259,LUNG1 (n=422)
0.4407939767282683,0.8649289099526069,0.8329250939523908,0.8981624214512686,LUNG1 (n=422)
0.4490075290896646,0.8625592417061614,0.8303262753882225,0.8960434801426029,LUNG1 (n=422)
0.4544832306639288,0.8554502369668249,0.8225492187570876,0.8896672578844281,LUNG1 (n=422)
0.4654346338124572,0.8530805687203794,0.819963109483874,0.8875356077743135,LUNG1 (n=422)
0.4736481861738535,0.8483412322274885,0.8147998811057333,0.8832633177616568,LUNG1 (n=422)
0.48459958932238195,0.845971563981043,0.8122226457533126,0.8811227941087152,LUNG1 (n=422)
