component,coef_LUNG1,coef_Radiogenomics,cv_stability
rad_pca_16,-5.1593976077554017e-08,1.7067219780075757e-08,2.236063270810458
rad_pca_17,0.0235745376849469,-2.2971928046585124e-08,1.3310750290130413
rad_pca_18,-2.6321683901091312e-08,3.5467920538933995e-08,0.7332292235291372
rad_pca_19,2.1114539776781004e-08,0.0764299326103429,1.6452582980424642
rad_pca_20,2.3132079195851762e-08,2.0018991757593308e-08,2.499384650526993
rad_pca_21,-1.7221079415102526e-08,1.0247981958813118e-08,1.3567314867221871
rad_pca_22,6.251139318189755e-10,9.440080101675949e-08,3.001570081723147
rad_pca_23,-7.647187036750633e-08,-1.570429806529664e-08,0.7055676144451408
rad_pca_24,-6.685372327588903e-08,-1.294941050095409e-08,0.3099939324574787
rad_pca_25,8.61500158420954e-08,-1.9482388205009422e-09,0.6809977380210367
rad_pca_26,-4.470158377238169e-08,2.0156820245831697e-08,3.402750184622287
rad_pca_27,5.1454512143540865e-09,3.07524402616764e-08,3.126365061480064
rad_pca_28,-5.68569954297922e-08,2.7314029963769063e-09,1.1034105052196272
rad_pca_29,4.37950570275068e-08,3.4566304796624936e-08,1.0558383978723522
emb_pca_0,-3.536125369177507e-09,-1.0725545829257183e-09,0.1748415167367698
emb_pca_1,5.9101178778889725e-09,4.622955755922605e-09,0.0710113307391413
emb_pca_2,3.4327091253036435e-09,-3.6125028085819324e-10,0.1260390677190096
emb_pca_3,-3.107409939388466e-09,-1.499688569465313e-09,0.2346165567793744
emb_pca_4,-0.0002559317163728,-9.151301132900367e-10,0.9363867502708476
emb_pca_5,-8.479429197057404e-10,2.626773246141718e-09,0.0533731612008317
emb_pca_6,-0.0016762737140914,-4.7750035028271354e-09,1.7088804478669437
emb_pca_7,4.521152345178366e-09,5.024456944778926e-09,0.1823841633875804
emb_pca_8,0.0036123625512969,-9.350514399254936e-10,1.2461021952965088
emb_pca_9,-5.058315510462054e-09,6.625270853233141e-10,0.1974100221333649
emb_pca_10,1.3983518545200634e-08,-9.072744484032436e-09,2.2359947856916134
emb_pca_11,7.013597852190803e-09,-7.600282583281638e-10,0.2086889451297242
emb_pca_12,4.1739943873058495e-09,4.428704270621755e-09,0.1682705663858333
emb_pca_13,1.1023559187938608e-08,-4.575058450389271e-09,0.2197805027346116
emb_pca_14,0.0100369186413717,6.7783539539300905e-09,0.264703374828782
emb_pca_15,-1.1132514306771632e-08,-0.0050690818983687,0.2279096263380068
emb_pca_16,-1.2195744546578411e-08,-8.314731616833964e-10,0.2365751462889454
emb_pca_17,-6.024220349742652e-09,-3.526022807411505e-09,0.2370188309841027
emb_pca_18,4.515013826708599e-09,5.2310765548606095e-09,0.2747864064795385
emb_pca_19,-5.655457757447567e-09,-5.9793071426040305e-09,0.2998917489889261
emb_pca_20,-6.142760673352187e-10,-5.952285785883712e-09,0.2662692248981397
emb_pca_21,1.3375630996681282e-08,5.497868485637902e-09,0.2643397784436122
emb_pca_22,2.821858743279674e-10,-6.498288636919756e-10,0.4183348141035564
emb_pca_23,-1.022507522064192e-08,-3.751289122794724e-09,0.2043854140489123
emb_pca_24,2.8734894169262496e-08,2.767248602017767e-09,2.0723211386692446
emb_pca_25,-5.319973532157518e-09,4.067734969744461e-09,0.3691522023351249
emb_pca_26,1.1867608866164432e-08,-5.37213452831198e-09,0.180271145063368
emb_pca_27,5.041248990084852e-09,3.879331431984247e-09,0.2800271056722316
emb_pca_28,-5.7955455713458806e-09,1.692374194351237e-09,0.2335574268367029
